797 - Ossulston Street, Somers Town
798 - Birkenhead Street, King's Cross
799 - Kings Gate House, Westminster
800 - Sopwith Way, Battersea Park
801 - Lavington Street, Bankside
802 - Albert Square, Stockwell
803 - Southwark Street, Bankside
804 - Good's Way, King's Cross
805 - The Metropolitan, Portobello
807 - Bevington Road West, North Kensington
808 - Gauden Road, Clapham
809 - Lincoln's Inn Fields, Holborn
810 - Tate Modern, Bankside
811 - Westferry Circus, Canary Wharf
812 - Here East North, Queen Elizabeth Olympic Park
813 - New Spring Gardens Walk, Vauxhall
814 - Clapham Road, Lingham Street, Stockwell
815 - Lambeth Palace Road, Waterloo
816 - Here East South, Queen Elizabeth Olympic Park
818 - Westminster Pier, Westminster
819 - Belvedere Road 2, South Bank
820 - Victory Place, Walworth
821 - Battersea Power Station, Battersea Park
826 - Allington Street, Victoria
827 - Cranmer Road, Stockwell
828 - Normandy Road, Stockwell
829 - Wynne Road, Stockwell
830 - Sidney Road, Stockwell
831 - St John's Crescent, Brixton
832 - Ferndale Road, Brixton
833 - Saltoun Road, Brixton
834 - Gas Holders, Battersea Park
835 - Farringdon Street, Holborn
836 - York Way, Kings Cross
838 - Fore Street, Guildhall
839 - Sea Containers, South Bank
840 - George Row, Bermondsey
841 - Tower Wharf, Bermondsey
842 - Temple Gardens, Temple
844 - Canada Water Station, Rotherhithe
845 - Bermondsey Station, Bermondsey
846 - Burgess Park Albany Road, Walworth
847 - South Bermondsey Station, Bermondsey
849 - Crimscott Street, Bermondsey
850 - Brandon Street, Walworth
851 - The Blue, Bermondsey
852 - Coomer Place, West Kensington
857 - Strand, Strand
864 - Abbey Orchard Street, Westminster
865 - Leonard Circus , Shoreditch
866 - Limburg Road, Clapham Junction
867 - Pritchard's Road, Bethnal Green
868 - Kennington Lane Rail Bridge, Vauxhall
869 - Albert Embankment, Vauxhall
870 - Lower Marsh, Waterloo
872 - Risinghill Street, Angel
873 - St. Pancras Way, Camden Town
874 - Handyside Street, King's Cross
875 - Victoria Rise, Clapham Common
876 - Old Quebec Street, Marylebone
877 - Spencer Park, Wandsworth Common
878 - Victoria & Albert Museum, South Kensington
879 - BBC White City, White City
881 - Albany Street, The Regent's Park
882 - Maplin Street, Mile End
883 - London Fields, Hackney Central
884 - Westfield Ariel Way, White City
885 - Gloucester Avenue, Camden Town
405 - Gloucester Road Station, South Kensington
225 - Notting Hill Gate Station, Notting Hill
